source_path,language,program_type,recur_type,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,summary
c_bench_term/term_17.c,C,loop,,Linear,1,1,1,False,False,True,False,False,14,开始一个循环，当x小于49时更新x为y对50取模的值并递增y。
c_bench_term/term_18.c,C,loop,,Linear,1,1,1,False,False,True,False,False,16,开始一个循环，根据 y 和 z 的模值更新 x，直到 x 大于 97。
c_bench_term/term_19.c,C,loop,,Linear,1,1,2,False,False,True,False,True,14,使用非确定性值初始化x，当x不等于2倍y时循环调整x的值。
c_bench_term/term_20.c,C,loop,,Linear,1,1,1,False,False,True,False,False,12,执行一个循环，更新变量x、y和z的值，直到x大于等于100。
c_bench_term/term_21.c,C,loop,,Linear,1,1,1,False,False,True,False,False,12,使用非确定初始值循环递减z直到其小于0。
c_bench_term/term_22.c,C,loop,,Linear,1,1,2,False,False,True,False,False,22,通过循环调整x和y的值，直到y等于K。
c_bench_term/term_23.c,C,loop,,Linear,1,1,2,False,False,True,False,False,14,开始一个循环，根据x和y的值进行递减和递增操作，并在特定条件下修改x。
c_bench_term/term_24.c,C,loop,,Linear,1,1,2,False,False,True,False,False,16,开始一个循环，当x不等于y时递增x和y，并在x或y超过z时进行调整。
c_bench_term/term_25.c,C,loop,,Linear,1,1,4,False,False,True,False,False,18,执行一个循环，根据变量c的值递减y，并更新x和z，直到w不等于x+y+z。
c_bench_term/term_26.c,C,loop,,Linear,1,1,2,False,False,True,False,False,16,分析代码主要任务：通过循环在x等于y时更新x和y的值，直到两者不相等。
c_bench_term/term_27.c,C,loop,,Linear,1,1,2,False,False,True,False,False,17,通过循环不断调整x和y的值，直到x小于等于y。
c_bench_term/term_28.c,C,loop,,Linear,1,1,2,False,False,True,False,False,20,通过非确定性条件调整x和y的值，直到x不大于y。
c_bench_term/term_29.c,C,loop,,Linear,1,1,2,False,False,True,False,True,20,使用非确定性输入更新变量 y 和 z，并在 x 小于 N 时循环递增 x。
c_bench_term/transform_1.c,C,loop,,Linear,1,1,1,False,False,True,False,False,19,分析程序中的变量变化和循环行为，判断在给定非确定性输入下循环是否终止。
c_bench_term/trex03_false-unreach-call_true-termination-modif.c,C,loop,,Linear,1,1,3,False,False,True,False,True,24,通过非确定性输入模拟三个变量的递减过程，直到其中一个变量小于等于零。
c_bench_term/trex03_false-unreach-call_true-termination-simpl.c,C,loop,,Linear,1,1,3,False,False,True,False,True,18,通过非确定性选择递减三个变量中的一个，直到至少有一个变量小于等于零。
c_bench_term/trex03_false-unreach-call_true-termination.c,C,loop,,Linear,1,1,3,False,False,True,False,True,21,开始一个循环，当三个变量都大于0时，随机递减其中一个变量。
